2890,3728,4
2209,4011,13
1622,2002,4
734,2193,5
737,2211,43
738,2837,18
403,2271,5
2475,2656,5
57,1036,2
1983,1985,4
1103,3074,44
689,1441,4
1059,1641,21
2999,3048,18
1767,2770,4
3673,4053,4
3123,3925,34
2128,3692,3
56,2437,3
2977,3171,6
1919,1995,3
342,1215,3
1427,1566,4
2173,2494,2
1856,2210,2
1023,1058,6
1044,2254,4
2320,3591,34
1238,1680,5
1007,3386,3
2250,3174,44
227,2284,3
77,2003,4
1041,2783,35
1419,2759,44
1910,3326,4
488,1832,3
1714,2122,3
1996,3943,4
785,2513,12
65,2720,3
2588,3818,6
201,1041,35
227,2018,5
1902,3525,4
2484,3252,4
1896,2751,4
338,2995,24
5,674,4
2740,2757,5
2809,3251,5
95,2907,2
1015,2696,3
34,289,18
623,4111,6
1483,2088,3
2174,3664,3
1226,1559,34
2311,2859,3
2320,3789,34
2258,3031,5
2653,3661,3
595,3557,35
827,1203,4
1947,3651,2
595,2192,35
2545,3070,2
2118,2881,4
1729,2465,4
383,778,32
3087,3318,21
3894,3915,35
1063,2901,3
1024,1485,32
3660,3922,14
2776,3123,34
540,4156,3
1596,2448,5
15,3168,34
1138,1513,3
3738,3846,2
2038,3868,4
1863,2566,3
3010,3218,3
564,716,3
1692,1818,4
189,1746,8
2,2035,6
1994,2276,44
1531,3100,12
1907,3641,9
1591,3064,3
468,2099,4
1464,3956,5
44,2918,5
405,3925,34
2909,3634,12
193,1600,3
1519,3576,3
3962,4006,12
1668,2322,3
1236,3989,18
139,1168,4
2027,3613,3
2398,3126,22
447,1635,2
2398,2897,22
1043,1674,4
1726,3575,4
2164,3647,3
1777,3087,21
2245,3719,4
239,2369,22
1474,3483,24
626,738,18
1763,1764,4
2287,3813,10
1068,1577,2
255,1286,4
929,1453,2
1680,2378,5
117,1103,44
1682,3815,3
383,3534,3
533,1554,5
595,1230,35
378,2079,3
2128,3955,4
2753,3283,44
122,532,16
1979,3727,5
2295,3339,3
443,1058,6
596,3352,24
532,1599,16
1635,2053,2
1956,2525,7
71,3448,3
436,2984,44
731,3154,2
1686,2150,3
546,1370,3
866,3355,3
673,3653,44
123,394,4
1944,3663,7
2804,3536,3
1261,3713,2
2266,2610,4
1140,3227,4
1046,3379,2
21,2089,4
1433,2474,4
3748,3856,3
3387,4011,44
2823,2940,2
1981,2776,34
1485,3288,32
1103,3951,44
236,3904,4
89,2605,15
1398,1950,3
2303,3778,10
2096,4118,3
1132,2566,3
2386,3074,44
1213,2199,5
2091,2168,35
12,1412,4
2138,3531,7
2780,2821,35
1821,2138,4
2783,2903,35
1306,3816,3
407,1024,34
250,1783,44
1092,3119,3
2522,3255,5
