4133,4141,3
4128,4134,3
4128,4135,3
4085,4089,3
4066,4087,2
4060,4068,3
4049,4081,3
4044,4045,4
4024,4034,5
4011,4143,4
4011,4079,43
4006,4014,10
4003,4020,6
4000,4025,3
3989,4020,17
3974,3986,1
3970,4028,7
3965,4083,6
3964,4105,6
3962,4006,11
3959,4003,6
3957,4085,3
3957,4089,3
3956,4037,4
3951,4079,43
3951,4011,43
3945,4148,2
3940,4123,1
3940,4113,2
3936,4157,5
3934,4043,8
3930,4018,1
3927,4042,4
3922,4121,13
3920,3933,2
3917,3935,19
3916,3935,21
3915,4129,34
3904,4138,4
3903,3934,5
3903,4012,2
3902,3912,2
3902,3921,2
3901,3948,2
3898,4007,2
3897,4129,34
3897,3915,34
3894,4129,34
3894,3915,34
3894,3897,34
3886,4029,2
3881,3889,4
3881,3904,4
3875,4121,13
3875,3922,13
3874,3987,9
3871,4025,3
3867,4045,4
3867,4044,4
3866,3937,2
3863,4124,2
3862,4113,3
3861,4122,3
3858,4012,2
3858,3903,2
3857,4110,1
3853,4065,3
3848,3934,5
3847,3883,4
3844,3972,4
3844,4102,4
3840,3843,2
3840,4080,4
3839,3888,3
3837,3996,5
3834,3945,4
3832,3881,5
3832,3874,5
3827,3944,3
3824,4052,8
3820,3964,4
3819,4008,2
3816,3844,4
3814,3861,1
3813,4105,9
3810,3913,4
3809,4138,4
3809,4128,4
3808,4005,5
3807,3808,4
3807,3958,4
3806,4053,2
3803,3910,3
3803,4047,4
3803,4073,5
3802,4040,2
3801,3966,2
3800,3930,5
3798,4033,4
3797,3832,4
3794,3896,6
3792,4109,4
3789,3925,33
3788,3848,5
3787,4157,6
3787,3936,5
3783,4140,4
3782,4121,13
3782,3922,13
3782,3875,13
3780,3926,4
3778,3987,9
3778,3874,9
3777,4009,1
3776,4103,1
3770,3787,5
3770,3936,5
3770,3988,1
3769,3987,9
3769,3874,9
3769,3778,9
3768,3862,2
3764,3803,5
3764,4046,3
3764,4047,4
3763,3842,2
3763,3803,3
3760,4086,4
3757,4082,2
3756,3923,3
3754,4052,8
3754,3824,8
3753,3798,4
3753,4033,4
3749,3932,2
3748,3856,3
3747,4064,3
3745,3945,2
3743,3775,6
3743,3959,6
3743,4003,6
3740,3742,3
3738,3846,1
3732,3779,1
3732,3780,3
3729,4030,7
3728,3939,5
3728,4016,2
3726,3984,2
3725,3828,4
3723,4013,2
3720,3938,3
3718,3953,4
3715,4026,3
3715,3807,3
3714,3964,6
3714,4079,43
3714,3951,43
3714,4011,43
3712,3753,2
3707,3935,21
3707,3916,21
3701,3805,2
3699,3976,2
3698,3956,5
3697,4109,4
3693,3729,7
3693,4030,7
3691,4052,8
3691,3824,8
3691,3754,8
3686,3692,4
3686,3698,5
3686,4101,4
3685,3754,8
3685,3824,8
3685,4052,8
3685,4135,3
3683,3827,5
3673,3685,6
3673,3728,6
3673,3871,5
3673,3903,5
3673,4051,2
3673,4053,4
3671,4015,4
3670,3832,4
3669,4047,4
3669,3764,4
3668,4086,4
3664,3665,2
3664,3831,2
3664,4055,3
3663,3727,6
3661,3664,3
3661,3685,5
3661,3673,5
3660,3782,13
3660,3875,13
3660,3922,13
3660,4121,13
3659,4129,34
3659,3915,34
3659,3897,34
3659,3894,34
3657,3764,4
3653,4079,43
3653,3951,43
3653,4011,43
3653,3714,43
3651,3985,1
3651,4106,2
3646,4003,5
3646,3959,5
3646,3743,5
3641,3691,8
3641,3754,8
3641,3824,8
3641,4052,8
3641,4074,3
3641,3685,8
3639,3665,2
3639,3831,2
3639,3664,2
3638,4120,4
3635,3783,4
3635,3795,1
3634,3728,11
3633,3725,5
3633,3828,4
3629,3853,3
3629,4024,5
3629,4034,5
3625,3762,20
3624,3853,3
3620,4086,3
3617,4107,3
3616,4073,4
3614,3826,3
3613,3620,3
3613,3646,5
3613,3668,4
3613,3743,9
3613,3760,4
3613,3775,6
3613,3959,6
3613,4003,6
3613,4039,3
3613,4086,4
3613,4079,43
3613,3951,43
3613,3653,43
3613,3714,43
3613,4011,43
3611,4110,1
3611,3945,5
3610,3684,3
3608,4085,3
3608,4089,3
3608,3957,3
3603,3625,20
3603,3637,17
3603,3762,20
3601,3725,6
3601,3786,3
3601,3850,1
3600,4029,2
3600,3886,2
3598,3939,2
3597,3930,5
3594,3962,11
3594,4006,11
3594,4014,10
3593,3790,4
3592,3919,3
3591,3925,33
3591,3789,33
3589,3788,2
3588,3964,4
3588,3820,4
3587,3770,3
3585,4100,2
3583,3955,5
3583,3673,5
3582,3980,4
3581,3770,3
3579,3921,3
3578,3663,9
3578,3743,9
3578,3613,9
3576,3991,2
3571,4142,2
3571,4003,5
3564,3876,4
3563,3846,2
3559,3803,5
3559,4073,5
3558,3589,2
3558,3848,4
3558,3788,4
3557,4129,34
3557,3915,34
3557,3897,34
3557,3894,34
3557,3659,34
3556,4030,7
3556,3729,7
3556,3693,7
3555,3573,15
3553,3554,2
3550,3762,20
3550,3625,20
3550,3603,20
3547,3898,3
3546,3616,4
3546,3693,4
3546,3558,4
3541,3705,6
3541,3902,2
3541,3912,2
3535,3755,1
3532,3759,2
3531,3640,2
3531,3684,6
3529,3611,5
3529,3629,5
3529,3808,5
3529,3862,4
3529,4005,5
3529,4034,5
3527,3803,4
3526,3652,3
3525,4019,3
3522,3765,4
3521,4015,2
3521,3651,2
3520,3919,4
3519,3536,1
3518,3649,3
3513,3515,2
3510,4121,13
3510,3922,13
3510,3875,13
3510,3782,13
3510,3660,13
3506,4067,4
3503,3678,3
3503,3845,3
3503,4061,4
3502,3905,3
3500,3604,2
3500,3761,3
3498,3937,7
3497,3559,2
3496,3932,3
3495,3963,2
3495,4063,3
3494,3524,3
3491,3762,20
3491,3625,20
3491,3603,20
3491,3550,20
3490,3648,7
3488,3573,15
3488,3555,15
3487,4079,43
3487,4011,43
3487,3951,43
3487,3714,43
3487,3653,43
3487,3613,43
3486,3934,8
3484,3514,2
3483,3971,23
3482,4014,10
3482,4006,10
3482,3594,10
3479,3818,8
3478,3898,2
3478,3547,2
3477,3612,1
3476,3936,3
3473,3874,5
3471,4135,3
3470,3522,2
3467,3846,3
3465,3871,5
3465,4025,3
3465,3673,5
3463,3958,4
3463,3807,4
3462,3552,2
3462,3877,4
3459,4003,3
